ma_khach_hang,ma_san_pham,so_sao,count,count,ma_khach_hang_idx,ma_san_pham_idx
106,365000012,5.0,29,35,16.0,115.0
106,365000013,5.0,27,35,16.0,126.0
106,365000015,5.0,28,35,16.0,116.0
106,365000016,5.0,27,35,16.0,128.0
106,365000017,5.0,32,35,16.0,107.0
106,365000018,5.0,27,35,16.0,129.0
106,365000019,5.0,27,35,16.0,130.0
106,365000020,5.0,27,35,16.0,131.0
106,422200236,5.0,90,35,16.0,53.0
106,422206101,5.0,16,35,16.0,173.0
106,422206103,5.0,16,35,16.0,175.0
106,422209634,5.0,16,35,16.0,176.0
106,422209636,5.0,17,35,16.0,169.0
106,422211878,5.0,81,35,16.0,80.0
106,422215804,5.0,96,35,16.0,51.0
106,422216416,2.0,120,35,16.0,85.0
106,422217292,5.0,98,35,16.0,47.0
107,100190059,5.0,110,37,10.0,31.0
107,204900004,5.0,105,37,10.0,34.0
107,204900004,5.0,105,37,10.0,34.0
107,204900056,5.0,105,37,10.0,32.0
107,204900056,5.0,105,37,10.0,32.0
107,204900128,5.0,105,37,10.0,33.0
107,204900159,5.0,107,37,10.0,35.0
107,204900159,5.0,107,37,10.0,35.0
107,205100136,4.0,295,37,10.0,3.0
107,205100136,5.0,295,37,10.0,3.0
107,205100137,4.0,299,37,10.0,4.0
107,205100146,4.0,298,37,10.0,1.0
107,205100146,5.0,298,37,10.0,1.0
107,223600009,4.0,48,37,10.0,110.0
107,223600010,4.0,46,37,10.0,132.0
107,223600034,4.0,49,37,10.0,125.0
107,224100009,5.0,71,37,10.0,93.0
107,422204259,4.0,307,37,10.0,0.0
107,422206648,4.0,294,37,10.0,5.0
107,422206648,5.0,294,37,10.0,5.0
107,422208807,4.0,292,37,10.0,6.0
107,422208807,5.0,292,37,10.0,6.0
107,422210980,5.0,107,37,10.0,30.0
107,422211446,4.0,298,37,10.0,7.0
107,422211446,5.0,298,37,10.0,7.0
107,422212097,4.0,45,37,10.0,133.0
108,205100136,5.0,295,8,661.0,3.0
108,205100137,5.0,299,8,661.0,4.0
108,205100146,5.0,298,8,661.0,1.0
108,422204259,5.0,307,8,661.0,0.0
108,422206648,5.0,294,8,661.0,5.0
108,422208807,5.0,292,8,661.0,6.0
108,422211446,5.0,298,8,661.0,7.0
108,422211447,5.0,298,8,661.0,2.0
109,205100136,5.0,295,9,554.0,3.0
109,205100137,5.0,299,9,554.0,4.0
109,205100146,5.0,298,9,554.0,1.0
109,422204259,5.0,307,9,554.0,0.0
109,422206648,5.0,294,9,554.0,5.0
109,422208807,5.0,292,9,554.0,6.0
109,422211446,5.0,298,9,554.0,7.0
109,422211447,5.0,298,9,554.0,2.0
110,204100003,4.0,59,12,334.0,94.0
110,204900013,3.0,163,12,334.0,81.0
110,205100136,5.0,295,12,334.0,3.0
110,205100137,5.0,299,12,334.0,4.0
110,205100146,5.0,298,12,334.0,1.0
110,422204259,5.0,307,12,334.0,0.0
110,422206648,5.0,294,12,334.0,5.0
